Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Property Type,Residential Type,Sales Ratio
22018,2022,2023-03-13,Norfolk,35 PARKER HILL RD,138620,380000,Residential,Single Family,0.36478947368421055
200821,2020,2021-05-27,Meriden,7 CARRIAGE CRSNG,67270,82000,Residential,Condo,0.8203658536585365
201245,2020,2021-09-14,Meriden,223 REYNOLDS DR,128170,260000,Residential,Single Family,0.49296153846153845
220753,2022,2023-07-19,Norwich,26 WARD ST,86100,180000,Residential,Single Family,0.47833333333333333
200175,2020,2020-10-29,Milford,16 SEABREEZE AVE,180950,325000,Residential,Condo,0.5567692307692308
220300,2022,2023-02-17,Greenwich,2 MORTIMER DRIVE,927990,1850000,Residential,Single Family,0.5016162162162162
210473,2021,2022-08-25,New London,85 WEST ST,75110,205000,Residential,Single Family,0.366390243902439
21136,2021,2021-11-30,Newtown,7 POSSUM RIDGE ROAD,243280,482500,Residential,Single Family,0.5042072538860104
2000473,2020,2021-05-18,Naugatuck,33 FAIRCHILD ST,98900,184500,Residential,Single Family,0.5360433604336043
2000022,2020,2020-10-13,Naugatuck,41 ANDERSON ST,108070,193500,Residential,Three Family,0.558501291989664
20086,2020,2020-10-22,New Britain,23 PARKMORE ST,122220,223000,Residential,Single Family,0.5480717488789237
200338,2020,2021-04-23,New Canaan,116 ROCKY BROOK RD,620760,850000,Residential,Single Family,0.7303058823529411
200661,2020,2021-08-30,New Canaan,322 MAIN ST,1279460,2400000,Residential,Single Family,0.5331083333333333
210618,2021,2022-05-23,Norwich,114 SHERATON LN,37400,100000,Residential,Condo,0.374
210923,2021,2022-08-24,Norwich,5 ROBBINS CT,106400,175000,Residential,Two Family,0.608
200953,2020,2021-05-28,New Haven,44 FRONT ST,64470,105000,Residential,Condo,0.614
201207,2020,2021-07-21,New Haven,40 TEMPLE CT # 40,368130,850000,Residential,Condo,0.4330941176470588
201440,2020,2021-09-15,New Haven,889 CONGRESS AV,80150,214000,Residential,Two Family,0.3745327102803738
200192,2020,2020-11-20,New Haven,459 BLATCHLEY AV,71150,170000,Residential,Two Family,0.41852941176470587
220779,2022,2023-06-23,Milford,23 PEARL ST,254300,650000,Residential,Single Family,0.3912307692307692
220981,2022,2023-09-29,New Haven,748 QUINNIPIAC AV #11,123130,250000,Residential,Condo,0.49252
20742,2020,2021-08-30,Newtown,157 HANOVER ROAD,325640,508000,Residential,Single Family,0.6410236220472441
20771,2020,2021-09-16,Newtown,3 SHORT HILL ROAD,451770,910000,Residential,Single Family,0.49645054945054945
201007,2020,2021-03-22,Norwalk,29 GREGORY BLVD,261800,450000,Residential,Single Family,0.5817777777777777
202876,2020,2021-08-18,Norwalk,17 HADIK PKWY,256270,355000,Residential,Single Family,0.721887323943662
200289,2020,2020-11-23,Norwalk,188 FLAX HILL RD UNIT B/6,173040,330000,Residential,Condo,0.5243636363636364
220324,2022,2023-04-26,Wallingford,28 GEORGE ST,152500,390000,Residential,Three Family,0.391025641025641
220209,2022,2022-12-22,New Haven,545 ELLSWORTH AV,266070,390000,Residential,Single Family,0.6822307692307692
21075,2021,2021-11-15,Southbury,887 SOUTHFORD RD,251170,462500,Residential,Single Family,0.5430702702702702
221296,2022,2023-06-22,Waterbury,61 OAK ST,76983,410000,Residential,Two Family,0.18776341463414634
20249,2020,2021-09-30,Orange,387 TIMBERLANE DR,297700,550000,Residential,Single Family,0.5412727272727272
20135,2020,2021-01-21,Plainfield,30-32 GREENE AVE,98580,200000,Residential,Two Family,0.4929
20492,2020,2021-08-19,Plainfield,22 FERNWOOD ST,142910,310000,Residential,Single Family,0.461
200377,2020,2021-08-16,Plainville,492 EAST ST B-36,41090,89900,Residential,Condo,0.45706340378197996
200179,2020,2021-06-22,Portland,724 GLASTONBURY TPKE,134750,220000,Residential,Single Family,0.6125
200010,2020,2020-10-22,Rocky Hill,59 HIGHCREST DRIVE,128870,193000,Residential,Condo,0.667720207253886
2102049,2021,2022-07-28,Stamford,91 STRAWBERRY HILL AVE #224,130350,145000,Residential,Condo,0.8989655172413793
2100154,2021,2021-10-19,Stamford,99 OLD BARN ROAD WEST,292910,530000,Residential,Single Family,0.5526603773584906
200759,2020,2021-07-21,Shelton,104 MAPLE AVE,144410,185000,Residential,Single Family,0.7805945945945946
200362,2020,2021-05-24,Simsbury,75 HILLTOP DRIVE,99660,180000,Residential,Condo,0.5536666666666666
200377,2020,2021-05-28,Simsbury,108 LIBRARY LANE,80010,130000,Residential,Condo,0.6154615384615385
220019,2022,2022-10-18,Windsor,324 KINGS LANDING,149450,350000,Residential,Condo,0.427
20486,2020,2021-06-15,Southbury,808 A HERITAGE VILLAGE,92080,185000,Residential,Condo,0.49772972972972973
20588,2020,2021-07-29,Southbury,2005 PURCHASE BROOK RD,235950,510000,Residential,Single Family,0.4626470588235294
220105,2022,2022-11-14,Hartford,67 CONGRESS AVE 067C,33773,125000,Residential,Condo,0.270184
220644,2022,2023-02-14,Bridgeport,329 PEARL ST #331,168500,300000,Residential,Three Family,0.5616666666666666
220031,2022,2022-10-21,Avon,38 LORD DAVIS LANE,462850,860000,Residential,Single Family,0.5381976744186047
220879,2022,2023-08-21,Hartford,45-51 WILLARD ST UNIT 3EL,14222,69900,Residential,Condo,0.2034620886981402
2200166,2022,2023-01-27,New Milford,28 BIRCHWOOD DR,168140,400000,Residential,Single Family,0.42035
22211,2022,2023-04-28,Montville,41 CAROL DR,206410,355000,Residential,Single Family,0.5814366197183098
22138,2022,2023-09-18,Beacon Falls,104 FIELDSTONE LANE,0,616335,Residential,Condo,0.0
2222100,2022,2023-02-21,Ansonia,124 TREMONT ST,120960,105000,Residential,Single Family,1.152
220249,2022,2023-01-17,Greenwich,110 SHEEPHILL ROAD,509600,700000,Residential,Single Family,0.728
2200060,2022,2022-11-14,New Milford,36 MIST HILL DR,198190,455000,Residential,Single Family,0.43558241758241756
220156,2022,2023-08-18,North Branford,15 CONIFER DR,184000,457000,Residential,Single Family,0.4026258205689278
220211,2022,2023-01-18,Litchfield,104 MEADOW ST,137910,513000,Residential,Single Family,0.26883040935672514
2200461,2022,2023-06-26,East Hartford,7 STRAWBERRY LN,181350,360000,Residential,Condo,0.50375
22079,2022,2023-08-14,Columbia,6 STRICKLAND ROAD,142100,355000,Residential,Single Family,0.4002816901408451
220473,2022,2023-01-30,Fairfield,13 BOND STREET,272370,390000,Residential,Single Family,0.6983846153846154
220891,2022,2023-08-29,New Haven,646 WOODWARD AV,183750,340000,Residential,Single Family,0.5404411764705882
220455,2022,2023-03-30,Meriden,50 SUNBRIGHT DR NO,118580,125000,Residential,Single Family,0.94864
220679,2022,2023-02-17,Bridgeport,518 NOBLE AVE #520,158385,415000,Residential,Three Family,0.38165060240963855
2200031,2022,2022-10-28,East Haven,65 RUSSO AVE #A5,95130,158100,Residential,Condo,0.601707779886148
222323,2022,2023-08-21,Bridgeport,2660 NORTH AVE UNIT 240,96190,260000,Residential,Condo,0.36996153846153845
22000028,2022,2023-07-25,Hampton,981 PUDDING HILL RD,126540,340000,Residential,Single Family,0.3721764705882353
220087,2022,2023-06-21,Easton,15 ORCHARD LANE,286300,801000,Residential,Single Family,0.35742821473158554
220585,2022,2023-06-27,Branford,27 BRAINERD RD UNIT B,184700,390000,Residential,Single Family,0.4735897435897436
22015,2022,2022-10-24,Columbia,28 CHESBRO BRIDGE ROAD,304080,810000,Residential,Single Family,0.3754074074074074
220036,2022,2023-04-18,Bethlehem,11 MAIN ST S,317500,620000,Residential,Single Family,0.5120967741935484
2200390,2022,2023-05-22,East Hartford,45 BRIARWOOD LN,207650,275000,Residential,Single Family,0.7550909090909091
220553,2022,2023-03-21,Fairfield,1319 STILLSON ROAD,600880,1365000,Residential,Single Family,0.4402051282051282
221932,2022,2023-05-25,Bridgeport,22 EVERGREEN ST,167640,440000,Residential,Three Family,0.381
220278,2022,2023-01-24,New Haven,132 DERBY AV,191800,278000,Residential,Three Family,0.6899280575539568
220684,2022,2023-06-16,Hamden,75 SANTA FE AVE,388640,818500,Residential,Single Family,0.47481979230299326
22134,2022,2023-02-23,North Haven,6 LIBERTY TERR,203380,260000,Residential,Single Family,0.7822307692307693
22312,2022,2023-06-21,Darien,16 PLYMOUTH ROAD,1595160,3195000,Residential,Single Family,0.4992676056338028
220900,2022,2023-08-16,Hamden,34 SQUIRE LA,207130,490000,Residential,Single Family,0.4227142857142857
220244,2022,2023-07-13,Ledyard,10 HERMITAGE DR,201530,460000,Residential,Single Family,0.4381086956521739
2200398,2022,2023-06-27,Naugatuck,6 PINEWOOD CROSSING SOUTH,282590,525000,Residential,Single Family,0.5382666666666667
220506,2022,2023-04-21,Branford,ANCHOR REEF CLUB 17E,137000,275000,Residential,Condo,0.49818181818181817
220071,2022,2023-01-24,East Windsor,72 ROCKVILLE RD,140890,285000,Residential,Single Family,0.49435087719298243
22161,2022,2023-03-24,North Haven,45 BLEECKER CIR,257180,489900,Residential,Condo,0.5249642784241682
22113,2022,2023-06-29,Burlington,48 HUNTERS CROSSING,334950,750000,Residential,Single Family,0.4466
22224,2022,2023-05-19,Montville,7 KILLEEN RD,170170,280000,Residential,Single Family,0.60775
220190,2022,2023-08-29,Ellington,10 AZALEA LN,297260,595000,Residential,Single Family,0.49959663865546217
220308,2022,2023-08-31,Killingly,91 GLORIA AV,170460,425000,Residential,Single Family,0.40108235294117645
220549,2022,2023-07-28,Enfield,24 SPIER AVE,182600,312000,Residential,Single Family,0.5852564102564103
2200459,2022,2023-06-23,East Hartford,5 COMANCHE RD,38870,70000,Residential,Condo,0.5552857142857143
2200432,2022,2023-08-15,New Milford,63 SULLIVAN FARM,174580,349995,Residential,Condo,0.4988071258160831
220297,2022,2023-08-15,Madison,22 SILO HILL,453000,981000,Residential,Single Family,0.4617737003058104
220127,2022,2022-11-21,Meriden,134 BALDWIN ST,159530,272500,Residential,Single Family,0.5854311926605504
220761,2022,2023-07-25,Meriden,9 FIESTA HGTS,178430,290000,Residential,Single Family,0.6152758620689656
220297,2022,2023-01-26,Meriden,142 BRITANNIA ST,113330,165000,Residential,Single Family,0.6868484848484848
220295,2022,2023-01-25,Meriden,19 SWAIN AVE,149450,260000,Residential,Two Family,0.5748076923076924
220184,2022,2023-06-30,Colchester,23 VILLAGE CT,215600,385000,Residential,Condo,0.56
220021,2022,2022-10-26,Bloomfield,34 COLD SPRING DR,189840,360000,Residential,Single Family,0.5273333333333333
220038,2022,2022-12-28,Hebron,302 JAGGER LANE,261590,434900,Residential,Single Family,0.6014945964589561
