Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Property Type,Residential Type,Sales Ratio
2200148,2022,2022-12-28,East Hartford,55 JANET DR,137110,253000,Residential,Single Family,0.5419367588932806
220633,2022,2023-06-16,Greenwich,93 RIVERSIDE AVENUE,1246700,2100000,Residential,Single Family,0.5936666666666667
220551,2022,2023-01-18,Bridgeport,60 GREYSTONE RD,137500,350000,Residential,Single Family,0.39285714285714285
220586,2022,2023-04-24,Hartford,256 SOUTH MARSHALL ST,592812,1993925,Residential,Condo,0.2973090763193199
22022,2022,2022-11-14,Burlington,33 VILLAGE LN,197260,426000,Residential,Single Family,0.46305164319248826
220117,2022,2023-04-13,East Windsor,54 MILLER RD,161210,280000,Residential,Single Family,0.57575
2200067,2022,2022-11-23,East Haven,6 BIRCH LN #K,67690,158000,Residential,Condo,0.4284177215189873
220103,2022,2022-11-21,Enfield,100 ABBE RD,142400,298000,Residential,Single Family,0.4778523489932886
220470,2022,2022-12-29,Bridgeport,55 WESSELS AVE #07,66010,139000,Residential,Condo,0.47489208633093527
222138,2022,2023-09-29,Manchester,42 RED ROCK LANE,188100,359475,Residential,Single Family,0.5232630920091801
210164,2021,2022-03-31,Suffield,59 BRANDYWINE LN,98420,181000,Residential,Condo,0.5437569060773481
220618,2022,2023-06-13,Greenwich,101 PUTNAM PARK,54722220,535000,Residential,Condo,102.28452336448598
220147,2022,2023-08-24,Brooklyn,46 POMFRET LANDING RD,114900,230000,Residential,Single Family,0.49956521739130433
220686,2022,2023-08-31,Branford,39 MANORWOOD DR,105900,252000,Residential,Condo,0.42023809523809524
220104,2022,2023-08-28,New Hartford,80 MAPLE HOLLOW ROAD,178500,322950,Residential,Single Family,0.552717138875987
220016,2022,2022-10-13,New Canaan,22 NORHOLT DR,713440,1300000,Residential,Single Family,0.5488
221366,2022,2023-08-24,Fairfield,720 BLACK ROCK TURNPIKE,245910,490000,Residential,Two Family,0.5018571428571429
220335,2022,2023-05-22,Groton,233 JUDSON AVE,202440,425000,Residential,Single Family,0.4763294117647059
220053,2022,2022-11-16,Brookfield,11 POWDER HORN HILL RD,255130,395000,Residential,Single Family,0.6458987341772152
220280,2022,2023-07-31,Madison,16 RIDGEWOOD AVE,312200,500000,Residential,Single Family,0.6244
220231,2022,2023-06-29,Avon,264 NEW ROAD,169910,415000,Residential,Single Family,0.409421686746988
220420,2022,2023-03-31,New Haven,666 WOODWARD AV,62230,150500,Residential,Condo,0.41348837209302325
220479,2022,2023-03-31,Branford,6G THIMBLE ISLE,45100,130000,Residential,Condo,0.34692307692307695
220041,2022,2023-03-24,East Granby,16 HATCHET HILL ROAD,60700,495000,Residential,Single Family,0.12262626262626262
220098,2022,2023-01-24,Bloomfield,247 DUNCASTER RD,145950,320000,Residential,Single Family,0.45609375
220197,2022,2023-05-31,Ledyard,11 CLARK LN,140350,268000,Residential,Single Family,0.5236940298507463
220044,2022,2022-10-18,Fairfield,121 BEECHWOOD LANE,361410,590000,Residential,Single Family,0.6125593220338983
220677,2022,2023-05-26,Milford,130 OXFORD RD,258710,445000,Residential,Single Family,0.5813707865168539
221752,2022,2023-04-14,Manchester,387 DENNISON RIDGE DRIVE,265600,459900,Residential,Single Family,0.5775168514894542
221171,2022,2023-06-27,Fairfield,59 MONA TERRACE,987490,1415000,Residential,Single Family,0.6978727915194346
22000021,2022,2023-06-27,Hampton,131 DRAIN ST,153760,250000,Residential,Single Family,0.61504
